,회사명,거래소코드,회계년도,부실판단,[U01410000]영업활동으로 인한 현금흐름(*)(천원),이자보상배율(이자비용)
21475,어니컴주식회사,68731,2022,0.0,1563407.0,16.87
21476,씨스존(주),68732,2022,0.0,1311042.0,2.26
21477,대원이노베이션(주),68742,2022,0.0,2205859.0,999999999.0
21478,주식회사세림지엠티,68748,2019,0.0,-2199819.0,-209395.03
21479,(주)매스텍스,68753,2022,0.0,1616720.0,999999999.0
21480,(주)신창특수강,68756,2022,0.0,25140.0,3.02
21481,(주)은성하이텍,68763,2019,0.0,,1.17
21482,(주)은성하이텍,68763,2019,0.0,513176.0,1.17
21483,에이치씨엠주식회사,68766,2022,0.0,-75133.0,817.22
21484,에스트래픽주식회사,68769,2016,0.0,10311292.0,11276.44
21485,현대아산태양광발전주식회사,68776,2022,0.0,3516895.0,7.24
21486,주식회사에이치엘사이언스,68777,2015,0.0,3095127.0,338.92
21487,(주)남전사,68783,2019,0.0,124794.0,0.0
21488,메카니칼토탈솔루션(주),68790,2022,0.0,-953670.0,-9.61
21489,삼척예선(주),68792,2021,0.0,4388501.0,24.17
21490,미래세움제3차주식회사,68796,2022,0.0,2061828.0,0.0
21491,주식회사한원컨벤션,68799,2022,0.0,-401144.0,-1.57
21492,(주)퓨쳐스트림네트웍스,68802,2015,0.0,-268341.0,351.93
21493,(주)선화씨에스,68804,2015,0.0,2671813.0,4.5
21494,(주)큐원,68805,2022,0.0,-1000616.0,0.0
21495,(주)한켐,68810,2022,0.0,984471.0,14.88
21496,(주)노루알앤씨,68814,2022,0.0,5185480.0,23.99
21497,주식회사김종학프로덕션,68822,2022,0.0,91029.0,17.79
21498,(주)콘포테크,68825,2022,0.0,-928329.0,0.62
21499,(주)미래로시스템,68826,2022,0.0,4768810.0,1339.43
21500,(주)신화,68832,2022,0.0,1395382.0,4.11
21501,(주)이엠케이,68833,2016,0.0,1765958.0,-4.57
21502,(주)장원,68836,2022,0.0,15778188.0,999999999.0
21503,(주)신창에프에이,68840,2022,0.0,1087940.0,2.26
21504,한성수산식품(주),68841,2022,0.0,-1443295.0,-1.39
21505,(주)리젠시빌주택,68844,2022,0.0,-12561003.0,3.97
21506,(주)에스유,68851,2019,0.0,1204300.0,0.86
21507,(주)큐엔탑,68853,2022,0.0,4854788.0,579.97
21508,주식회사제이에이치패널,68859,2018,0.0,-324965.0,0.75
21509,(주)삼덕티엘에스,68867,2021,0.0,-2589361.0,67.05
21510,세명강업(주),68870,2022,0.0,2963196.0,30.23
21511,한국와트로주식회사,68877,2022,0.0,2997034.0,999999999.0
21512,(주)남동레미콘,68878,2017,0.0,5809921.0,23.72
21513,영보하우징(주),68879,2016,0.0,6100128.0,999999999.0
21514,(주)가인물산,68891,2018,0.0,-1007864.0,-205.86
21515,(주)프라우텍,68893,2022,0.0,420068.0,4.32
21516,주식회사삼영데리카후레쉬,68894,2022,0.0,3479742.0,3.93
21517,(주)에스엠,68898,2022,0.0,,999999999.0
21518,(주)에스엠,68898,2022,0.0,4212092.0,999999999.0
21519,주식회사코리아초선,68900,2018,0.0,-479741.0,3.02
21520,주식회사브이원텍,68902,2016,0.0,6205396.0,723.45
21521,웹투어(주),68905,2022,0.0,4370842.0,106.44
21522,주식회사두원홀딩스,68907,2015,0.0,-14624.0,999999999.0
21523,주식회사유원인더스트리,68910,2022,0.0,652556.0,-3.66
21524,(주)고려에프앤에프,68913,2022,0.0,6308738.0,999999999.0
21525,(주)영제자산관리,68916,2022,0.0,331442.0,1.46
21526,(주)반석코퍼레이션,68917,2019,0.0,613645.0,3.85
21527,자안그룹주식회사,68923,2020,0.0,-9407108.0,6.1
21528,주식회사레이저플렉스,68924,2019,0.0,898373.0,-3.9
21529,주식회사레뱅드매일,68926,2022,0.0,3119807.0,14.7
21530,(주)켐온,68930,2016,0.0,2514422.0,999999999.0
21531,주식회사삼영개발,68933,2020,0.0,441461.0,999999999.0
21532,주식회사천보프라자,68935,2015,0.0,6290254.0,41.47
21533,하이골드오션13호국제선박투자회사,68937,2019,0.0,3077841.0,999999999.0
21534,하이골드오션15호국제선박투자회사,68938,2022,0.0,3473570.0,999999999.0
21535,주식회사금호기공,68944,2022,0.0,1196104.0,1.01
21536,주식회사아팩,68945,2022,0.0,1792079.0,20.14
21537,(주)엠큐브테크놀로지,68947,2022,0.0,7112932.0,593.81
21538,정일글로벌주식회사,68952,2022,0.0,262319.0,1.32
21539,(주)엑소,68953,2022,0.0,278491.0,0.72
21540,주식회사동림스틸,68955,2022,0.0,1045462.0,7.15
21541,(주)에스에이,68956,2022,0.0,-355522.0,3.22
21542,(주)영동철강,68959,2017,0.0,264007.0,2.82
21543,주식회사티에프이,68961,2021,0.0,8279851.0,49.37
21544,(주)선경테크,68962,2022,0.0,-2025183.0,-33.38
21545,휴마시스(주),68964,2016,0.0,552376.0,-0.72
21546,주식회사경일에프비,68967,2022,0.0,2856265.0,3.98
21547,(주)버팔로스포츠,68969,2019,0.0,352546.0,-62.86
21548,주)참존종합건설,68970,2020,0.0,19039452.0,-4.03
