회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,비유동비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,매출액총이익률,총자본사업이익률,총자본정상영업이익률,자기자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,자기자본배율,유형자산증가율,재고자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,자기자본회전률,경영자본회전률,총자본회전률,비유동자산회전률,순운전자본회전률,유동자산회전률,영업년수,상장년수,기업수명주기,부실판단
크루셜텍(주),114120,2014,-3,-4,-2,-2,90,51,204,276,191,52,-5,6,46,27,-53.9,-11.02,-8.35,7.35,-3.42,-3.67,-12.81,-3.09,1.86,-28.59,-3.094739275266698,-3.09,-12.45,6.49,-0.71,456,8.21,-21.7,22228,6,16,5,-156,1.2054164758061567,9.81,5,3,4,1,1,2,1,2,23.0,14.0,도입기,1.0
키네마스터(주),139670,2022,-124,0,-52,-43,1351,1351,10,71,12,0,87,204,94,58,-91.91,-73.56,-78.34,0.0,-75.76,-76.7,-97.98,-83.51,-0.85,-85.19,-38.0044407146293,-38.0,-33.18,-71.13,-25.81,141,18.87,0.0,-5105,-31,-2001,-26,0,1.1999715412495988,12.63,1,40,1,1,1,9,1,1,22.0,13.0,도입기,0.0
태원물산(주),1420,2022,8,45,1,4,665,631,47,18,11,3,51,54,60,85,-4.47,-3.83,-12.42,4.47,0.12,-1.45,-1.72,-4.79,-4.88,-4.73,-6.652245713238221,-6.65,-4.96,-9.07,-25.55,778,-5.39,-8.2,2373,7,17,22,-57,0.3134512138201967,4.78,1,1,0,0,0,1,0,1,69.0,49.0,성숙기,1.0
테고사이언스(주),191420,2022,26,61,1,10,1053,998,49,6,5,2,48,31,53,94,0.54,0.57,3.33,73.12,1.53,0.41,0.43,2.73,-6.99,0.25,0.7037659836350508,0.7,3.46,-2.29,-7.49,1199,-2.86,54.95,3782,7,23,49,7,0.149493036151393,2.11,0,0,0,0,0,0,0,0,23.0,10.0,성장기,0.0
테라사이언스(주),73640,2014,-2,-3,-2,-7,50,17,210,206,190,52,-31,2,31,33,-14.86,-6.07,-21.31,9.2,-3.95,-3.99,-11.36,-16.29,9.96,-5.34,-0.4554066789087898,-0.46,-8.83,3.88,9.29,351,4.21,-6.5,2592,2,3,7,-291,0.2456808456091718,5.06,2,0,1,0,0,0,0,1,31.0,20.0,성숙기,1.0
텔코웨어(주),78000,2022,42,110573,7,20,494,492,39,18,16,0,53,123,67,84,3.5,3.32,9.09,40.45,3.14,2.25,2.59,6.71,-2.52,1.85,8.10178041163653,8.1,12.92,-0.49,22.25,2219,-2.54,0.0,23733,18,101,56,16,0.3223116302038948,11.94,1,2,0,0,0,1,0,1,24.0,20.0,성숙기,0.0
티제이미디어(주),32540,2022,1,1,0,0,181,78,88,58,38,16,20,39,44,63,5.41,5.68,5.23,27.88,3.71,3.33,4.99,4.82,0.19,1.34,18.01833473310373,18.02,55.05,-0.66,38.89,1224,-3.61,83.49,22386,17,107,26,20,0.6374099089936835,15.47,4,4,1,1,1,1,1,2,33.0,27.0,도입기,0.0
파나케이아(주),58530,2016,-20,-27,-9,-14,153,88,67,85,78,34,22,7,64,54,-3.01,0.1,0.12,30.34,5.52,5.4,9.81,6.56,1.79,-4.68,86.88427186208129,86.88,128.33,41.36,155.45,274,28.37,74.39,11364,12,107,19,1,0.6314955157136308,4.42,3,5,2,1,1,2,1,1,30.0,22.0,도입기,1.0
파미셀(주),5690,2014,-39,-67,-6,-30,286,263,80,19,14,9,21,197,33,84,-34.98,-29.36,-142.73,19.09,-8.31,-8.57,-10.23,-41.76,3.28,-7.059999999999995,-0.5275134061379739,1.21,163.28,-22.0,-18.51,317,-21.08,-43.4,-19322,-20,-428,-96,0,0.2039099227054894,4.56,1,4,0,0,0,0,1,1,56.0,36.0,쇠퇴기,1.0
패션플랫폼(주),225590,2022,25,49,8,7,375,175,54,45,24,16,46,5,63,69,15.58,13.43,8.84,66.99,14.2,13.89,19.07,10.89,0.24,-11.31,30.787789539023247,30.79,12.03,82.63,27.28,2511,5.27,7.72,25877,26,283,24,38,1.1249357186807276,10.59,4,12,2,2,1,4,1,2,9.0,9.0,성장기,0.0
프리시젼바이오(주),335810,2022,-14,-26,-6,-17,104,56,115,77,60,23,1,38,35,57,-18.98,-14.17,-33.27,33.02,-7.52,-7.84,-12.55,-22.0,3.08,-7.99,5.906820007395767,5.91,-37.61,70.53,28.77,576,67.34,28.12,3722,6,18,18,-183,0.3466900156600105,10.33,1,1,1,0,0,1,1,1,15.0,4.0,쇠퇴기,1.0
