회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
(주)선안,93190,2022,23.31,215.28,13.04,3.77,73.55,73.55,127.01,127.01,6.06,-14.8,0.01,41.15,44.05,19.62,10.69,2.23,9.58,6.21,1.64,-0.84,0.0164639591781612,20.34995079403252,20.35,23.11,18.49,1.99,38.86,2327.11,27.48,85.72,7.95,28.1,51.08,3.456393858872158,9.48,9.27,12.53,4.79,3.78,6.37,9.27,15.0,0,0,1,0,0.0
주식회사화신,38992,2022,0.83,1.12,0.57,1.12,74.18,54.1,219.18,146.74,51.0,-11.87,4.48,34.1,31.33,0.89,0.35,0.55,4.5,3.86,7.34,2.64,-0.041984496379417,7.822887588502576,7.82,37.49,-3.01,15.11,2.47,4615.72,4.93,10.0,9.73,5.62,63.57,0.5068910327206159,8.24,2.38,1.0,0.63,0.53,0.76,1.72,25.0,0,0,1,0,0.0
태산기계공업(주),58770,2022,9.09,33.34,7.19,3.31,114.84,70.3,377.7,334.95,21.55,10.41,19.3,80.53,20.93,19.96,4.2,1.75,7.17,7.1,3.02,0.33,0.0065107427723812,18.50596673528557,18.51,23.83,0.62,29.16,0.11,2712.34,11.59,68.54,5.34,32.78,73.58,2.169482686410918,7.06,5.26,12.84,2.4,2.35,11.17,2.98,25.0,0,0,1,0,0.0
(주)나라피씨,92004,2022,22.05,48.23,15.46,9.44,89.29,88.41,234.46,206.76,32.06,-6.62,24.61,55.2,29.9,22.9,5.93,2.96,10.71,10.6,5.3,0.72,-0.475520861702007,56.23145373354818,56.23,65.02,46.61,7.94,49.91,2699.3,13.22,31.52,8.07,36.65,81.3,1.638514013727589,9.67,3.88,4.69,2.01,2.0,4.35,3.7,9.0,0,0,1,0,0.0
(주)그린플러스,186230,2022,8.0,10.0,4.0,5.0,156.0,124.0,75.0,51.0,35.0,16.0,45.0,46.0,57.0,-4.46,-3.76,-4.24,3.62,3.46,4.33,1.7,0.042163560714882,4.244663682543359,4.24,-22.01,45.5,-0.28,50.28,11708.0,11.0,29.0,14.0,-30.0,18.0,0.7832747681079876,5.02,2.0,2.0,1.0,1.0,2.0,2.0,27.0,0,0,1,0,0.0
(주)맨에어코리아,86706,2020,109.97,2688.0936999999994,5.99,9.64,1713.28,1408.92,5.76,4.44,0.05,67.74,683.41,71.94,94.55,7.81,7.97,11.57,9.04,8.85,13.87,-0.29,-0.0173593909794177,5.506157213982608,5.51,8.13,-0.67,-2.94,-2.49,3024.88,19.01,95.54,30.6,37.8,56.15,0.6213720233703002,2.13,1.1,3.08,0.69,0.64,2.21,0.9,23.0,0,0,1,0,0.0
농업회사법인주식회사안성,13457,2022,20.6,23.14,12.16,27.35,38.39,36.99,144.12,119.35,52.57,-30.12,0.94,18.77,40.96,5.72,2.77,5.1,3.51,3.43,6.55,2.32,-0.0220093063660625,43.13447526013353,43.13,14.52,51.9,16.57,66.89,16619.18,15.18,18.86,34.14,14.95,96.76,0.4447783662452521,22.33,2.64,0.69,0.54,0.52,0.66,2.53,38.0,0,0,1,0,0.0
금아파워텍주식회사,78741,2022,4.76,6.6,3.59,3.42,56.36,24.35,306.68,292.33,54.37,-31.37,4.96,40.51,24.59,-16.79,-4.89,-4.3,-2.45,-2.46,-2.25,1.49,-0.3131361254570122,8.63294341335111,8.63,8.44,8.77,15.59,10.84,1954.05,8.96,16.37,8.54,-50.32,31.14,1.048207457688764,8.33,6.57,2.02,1.14,1.09,1.84,2.69,13.0,0,0,1,0,0.0
에코네트워크(주),97095,2022,4.9,5.75,2.29,7.85,34.53,34.53,87.66,75.45,39.85,-26.33,2.48,13.88,53.29,7.55,24.34,13.29,7.69,5.63,15.63,-2.5,-0.0212963330349825,61.18308710528571,61.18,26.21,68.72,41.78,76.56,3053.87,6.01,186.52,20.58,64.59,80.72,0.2917999491717719,3.66,2.35,2.62,1.83,0.36,0.43,2.35,17.0,0,0,1,0,0.0
(주)스피덴트,95418,2022,21.64,29.86,13.09,10.74,151.81,105.05,153.17,134.7,43.84,27.56,43.04,80.77,39.5,25.25,10.47,7.27,13.39,13.04,9.85,1.09,0.0139806894540394,18.790903321210084,18.79,22.86,4.27,25.57,-1.23,6723.77,29.21,348.48,23.97,30.31,52.77,1.2188689179986727,5.76,2.37,14.3,1.44,1.32,6.47,1.66,27.0,0,0,1,0,0.0
